"neighbourhood","mean_price"
"'Elys'ee",442.04089376054
"Batignolles-Monceau",265.816025067144
"Bourse",257.025957972806
"Buttes-Chaumont",189.860273972603
"Buttes-Montmartre",178.996442382057
"Entrep^ot",217.837334639882
"Gobelins",181.350968351441
"H^otel-de-Ville",291.040767386091
"Louvre",338.564918851436
"Luxembourg",336.116325511732
"M'enilmontant",160.125243348475
"Observatoire",202.40622371741
"Op'era",257.741885143571
"Palais-Bourbon",409.839717741935
"Panth'eon",252.123480797278
"Passy",407.62310484732
"Popincourt",210.762969924812
"Reuilly",216.951380785686
"Temple",249.778244141308
"Vaugirard",245.561126108754
